sabor,opinion,etiqueta,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
vainilla,El helado de vainilla sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
chocolate,La textura del helado de chocolate estaba muy granulada y seca.,0,,,,,,,,,,,,,,
fresa,"El sabor a fresa era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
mango,No volvería a probar el mango; me decepcionó su sabor.,0,,,,,,,,,,,,,,
pistacho,El helado de pistacho tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
limón,El helado de limón sabía demasiado artificial y empalagoso.,0,,,,,,,,,,,,,,
menta,La textura del helado de menta estaba muy granulada y seca.,0,,,,,,,,,,,,,,
café,"El sabor a café era muy débil, casi no se notaba.",0,,,,,,,,,,,,,,
cheesecake,No volvería a probar el cheesecake; me decepcionó su sabor.,0,,,,,,,,,,,,,,
cookies and cream,El helado de cookies and cream tenía un regusto extraño que no me gustó.,0,,,,,,,,,,,,,,
